stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
53992,53992,Lac aux Castors (Remembrance / No 2000),45.499445,-73.600504,http://m.stm.info/fr/horaires/arrets/53992/bus,0,,1
53994,53994,Honoré-Beaugrand / Fonteneau,45.598219,-73.540530,http://m.stm.info/fr/horaires/arrets/53994/bus,0,,1
53995,53995,Honoré-Beaugrand / Fonteneau,45.598282,-73.541087,http://m.stm.info/fr/horaires/arrets/53995/bus,0,,1
53996,53996,Chénier / Honoré-Beaugrand,45.598978,-73.543773,http://m.stm.info/fr/horaires/arrets/53996/bus,0,,1
53997,53997,Monk / De Biencourt,45.458705,-73.596017,http://m.stm.info/fr/horaires/arrets/53997/bus,0,,1
53998,53998,Place Jacques-Cartier,45.508070,-73.554092,http://m.stm.info/fr/horaires/arrets/53998/bus,0,,1
53999,53999,Terminus Sherbrooke / Gouin,45.697374,-73.491876,http://m.stm.info/fr/horaires/arrets/53999/bus,0,,1
54000,54000,Armand-Bombardier / Perras,45.638002,-73.596672,http://m.stm.info/fr/horaires/arrets/54000/bus,0,,1
54001,54001,Metcalfe / Sainte-Catherine,45.500726,-73.572429,http://m.stm.info/fr/horaires/arrets/54001/bus,0,,1
54002,54002,Hochelaga / Garnison Montréal,45.577388,-73.533424,http://m.stm.info/fr/horaires/arrets/54002/bus,0,,1
54003,54003,Sainte-Catherine / Frontenac,45.530377,-73.545329,http://m.stm.info/fr/horaires/arrets/54003/bus,0,,1
54004,54004,Metcalfe / René-Lévesque,45.499469,-73.569954,http://m.stm.info/fr/horaires/arrets/54004/bus,0,,1
54005,54005,Station Mont-Royal,45.524295,-73.581554,http://m.stm.info/fr/horaires/arrets/54005/bus,0,,1
54006,54006,de l'Acadie / De Salaberry,45.540474,-73.695349,http://m.stm.info/fr/horaires/arrets/54006/bus,0,,1
54008,54008,Station Honoré-Beaugrand / Terminus Nord,45.596945,-73.536323,http://m.stm.info/fr/horaires/arrets/54008/bus,0,,1
